"cellID","avg_intensity_dapi","nuclear_area","nuclear_perimeter","major_axis","minor_axis","axes_ratio","circularity","eccentricity","solidity","x_pos","y_pos","angle","imageID","avg_intensity_core_dapi","avg_intensity_internal_ring_dapi","avg_intensity_external_ring_dapi","total_intensity_core_dapi","total_intensity_internal_ring_dapi","total_intensity_external_ring_dapi","total_intensity_dapi","avg_intensity_beta3","total_intensity_beta3","avg_intensity_rfp","total_intensity_rfp","avg_intensity_ngn2","total_intensity_ngn2","dna_peaks","dna_dots","dna_dots_size_median","spatial_entropy","beta3_group","rfp_group","ngn2_group","experiment","path2ong"
46,1982,193,58,23.1,10.7,0.466,0.713,0.885,0.965,1011,998,0.453561192,"Snap-313",2327,1442,648,4116059,1714755,859961,7423444,998,3736672,12089,45275041,10176,38108527,14,10,1.7262215,3.699,2,5,4,"Day1","test"
53,2627,73,36,15,6.3,0.418,0.704,0.908,0.959,1619,1338,-1.19941388,"Snap-313",3251,2006,558,2298159,1422319,469127,3720478,6347,8987046,15071,21340531,7697,10898706,4,4,1.5716345,3.744,5,5,4,"Day1","test"
5,2773,75,34,11.4,8.6,0.758,0.837,0.652,0.958,856,540,0.770978028,"Snap-315",3431,2068,634,2312295,1348079,502153,4054090,1974,2885827,7294,10664059,5075,7419635,5,4,1.1078735,3.701,3,4,3,"Day1","test"
7,2565,84,35,11,9.7,0.882,0.882,0.471,0.968,778,573,-0.341826007,"Snap-315",2917,2193,1338,2004285,1455907,1074614,4167557,3996,6492950,4308,7000646,1003,1630037,9,7,0.463761,3.707,4,4,2,"Day1","test"
8,3832,104,40,14.3,9.4,0.66,0.797,0.751,0.955,821,593,-0.851595222,"Snap-315",4768,2827,1524,4091239,2303755,1451920,7732389,3034,6121936,4990,10069156,698,1408063,8,9,0.566819,3.67,4,4,2,"Day1","test"
10,3802,51,27,9.2,7.1,0.775,0.85,0.632,0.961,745,598,-0.365710388,"Snap-315",4288,3361,1296,2002277,1731142,861661,3733419,4457,4376823,4293,4215618,1034,1015211,5,5,1.236696,3.856,4,4,2,"Day1","test"
12,3550,60,30,9.8,7.8,0.797,0.863,0.605,0.963,762,645,-1.142484284,"Snap-315",3639,3453,1790,1771982,1937215,1261843,4124726,3040,3531912,6499,7552376,1063,1235771,5,3,0.566819,3.629,4,4,2,"Day1","test"
28,4899,73,33,11.4,8.3,0.73,0.874,0.683,0.969,91,1092,1.148180708,"Snap-315",5769,4031,2082,3709456,2600022,1632501,6986668,3556,5070443,5920,8441746,1281,1826737,4,2,1.082109,3.584,4,4,2,"Day1","test"
29,4146,60,30,10.3,7.4,0.721,0.833,0.693,0.965,143,1103,0.642828263,"Snap-315",4709,3586,2809,2726507,2090605,2067748,4817112,5175,6013643,6884,7998928,1623,1886321,7,4,1.6231635,3.746,5,4,2,"Day1","test"
7,1807,119,45,17.9,8.6,0.48,0.746,0.877,0.972,527,377,-1.570688695,"Snap-317",2123,1387,485,2282287,1188371,480754,4159065,1306,3007363,9826,22620528,15565,35830900,8,7,1.236696,3.732,3,5,5,"Day1","test"
