cellID,avg_intensity_dapi,nuclear_area,nuclear_perimeter,major_axis,minor_axis,axes_ratio,circularity,eccentricity,solidity,x_pos,y_pos,angle,imageID,avg_intensity_core_dapi,avg_intensity_internal_ring_dapi,avg_intensity_external_ring_dapi,total_intensity_core_dapi,total_intensity_internal_ring_dapi,total_intensity_external_ring_dapi,total_intensity_dapi,avg_intensity_beta3,total_intensity_beta3,avg_intensity_rfp,total_intensity_rfp,avg_intensity_ngn,total_intensity_ngn,beta3_x_rfp,beta3_x_ngn,rfp_x_ngn,beta3_x_rfp_x_ngn,dna_peaks,dna_dots,dna_dots_size_median,spatial_entropy,beta3_group,rfp_group,ngn_group
1,1103,4,8,3.2,1.6,0.51,0.791,0.86,0.949,5,3,-1.313,Snap-200,1243,1038,496,45969,64304,44091,81624,812,60055,480,35518,293,21634,389760,237916,140640,114199680,1.0,0.0,0.0,4.019,2,2,3
2,1394,163,48,16.1,12.9,0.804,0.893,0.594,0.985,50,26,1.3,Snap-200,1515,1133,409,2254225,898305,346403,4404174,808,2552746,758,2393450,264,833017,612464,213312,200112,161690496,17.0,16.0,0.824,3.801,2,2,2
3,1910,115,41,15.6,9.5,0.607,0.851,0.794,0.984,175,19,1.38,Snap-200,2190,1378,464,2235587,887395,283022,4265045,701,1563610,636,1419751,236,525076,445836,165436,150096,105217296,10.0,13.0,0.876,3.811,1,2,1
4,1676,138,45,16.4,10.8,0.659,0.852,0.752,0.979,239,33,0.55,Snap-200,1890,1361,455,2258140,1192225,424342,4481649,758,2024852,723,1932283,271,724406,548034,205418,195933,148517214,13.0,11.0,0.721,3.826,2,2,2
5,1979,38,28,11.6,4.4,0.38,0.625,0.925,0.971,376,7,1.569,Snap-200,2479,1430,585,864900,450263,218123,1448266,723,528934,580,424499,256,186732,419340,185088,148480,107351040,4.0,4.0,0.67,3.704,1,2,2
6,2528,175,55,18.9,12.5,0.663,0.734,0.749,0.931,562,27,1.085,Snap-200,3209,1465,643,5457465,1272509,510323,8603707,876,2978824,932,3168369,314,1067391,816432,275064,292648,256359648,7.0,5.0,1.34,3.448,2,3,3
7,2183,108,39,13.6,10.2,0.753,0.872,0.658,0.98,618,24,0.712,Snap-200,2325,1854,606,2319430,1032678,343046,4580289,691,1448558,723,1515614,263,550004,499593,181733,190149,131392959,11.0,7.0,0.928,3.8,1,2,2
8,1554,142,45,15.5,11.8,0.764,0.882,0.646,0.987,845,23,-1.498,Snap-200,1700,1250,439,2172276,879521,334187,4280230,831,2288269,687,1890586,259,712543,570897,215229,177933,147862323,12.0,10.0,1.391,3.856,2,2,2
9,1942,84,38,15.0,7.5,0.502,0.727,0.865,0.98,1337,13,1.471,Snap-200,1852,1836,597,1371606,892036,288600,3183504,660,1081044,614,1004743,245,400985,405240,161700,150430,99283800,9.0,5.0,1.391,3.772,1,2,2
10,2526,28,22,8.6,4.4,0.513,0.752,0.859,0.977,1440,7,1.517,Snap-200,3312,1787,728,781399,453848,190536,1384070,990,542437,761,416846,278,152190,753390,275220,211558,209442420,2.0,1.0,0.824,3.668,3,3,3
11,2637,21,19,7.0,4.1,0.594,0.768,0.805,0.972,1472,7,-1.546,Snap-200,3301,1918,888,640351,341377,132213,1099501,1046,435885,695,289421,266,110794,726970,278236,184870,193374020,2.0,0.0,0.0,3.694,3,3,2
12,2129,93,37,12.0,10.1,0.842,0.847,0.539,0.977,1511,18,1.417,Snap-200,2431,1620,609,2155949,772302,321655,3823333,1033,1855118,867,1556050,283,506958,895611,292339,245361,253457913,9.0,5.0,1.494,3.686,3,3,3
13,2188,104,39,12.8,10.5,0.823,0.878,0.567,0.982,1570,23,-0.567,Snap-200,2485,1594,649,2253365,807901,294393,4412521,848,1708841,774,1559261,265,534488,656352,224720,205110,173933280,9.0,9.0,0.876,3.742,2,3,2
14,1593,7,14,6.6,1.4,0.217,0.443,0.976,0.958,1890,2,1.562,Snap-200,1864,1559,631,115540,190173,126079,216609,685,93091,366,49643,254,34532,250710,173990,92964,63680340,2.0,0.0,0.0,4.023,1,0,2
15,1840,41,26,9.6,5.9,0.615,0.751,0.788,0.985,1925,27,0.013,Snap-200,2086,1573,594,790258,534494,242249,1455753,730,576959,722,570328,251,198111,527060,183230,181222,132292060,5.0,2.0,0.979,3.725,1,2,2
16,2242,100,38,12.5,10.3,0.824,0.881,0.567,0.974,1601,50,-0.282,Snap-200,2777,1536,675,2570941,890423,365423,4332159,836,1614535,820,1583044,268,516788,685520,224048,219760,183719360,3.0,3.0,0.567,3.537,2,3,2
17,1755,134,43,14.9,11.4,0.766,0.891,0.643,0.981,1695,50,-0.779,Snap-200,1967,1465,496,2296725,1253584,422067,4567372,766,1991410,747,1942012,262,680406,572202,200692,195714,149916924,13.0,10.0,1.211,3.749,1,2,2
18,2111,101,38,13.9,9.3,0.67,0.857,0.743,0.978,1816,42,1.482,Snap-200,2659,1456,574,2368790,1091451,509706,4135495,822,1610080,755,1477908,255,497961,620610,209610,192525,158255550,5.0,3.0,1.082,3.651,2,2,2
19,1795,132,43,14.5,11.6,0.8,0.879,0.6,0.979,374,50,1.218,Snap-200,1905,1537,510,2226657,1302653,501952,4584700,659,1681455,737,1880494,262,668123,485683,172658,193094,127248946,16.0,13.0,0.876,3.88,1,2,2
20,2008,116,42,15.8,9.4,0.595,0.833,0.804,0.979,1309,53,0.758,Snap-200,2444,1470,538,2461046,1266448,533145,4507934,716,1605523,698,1566115,247,552544,499768,176852,172406,123442696,9.0,8.0,2.164,3.734,1,2,2
21,2297,98,37,12.9,9.7,0.753,0.883,0.658,0.974,1644,56,-0.218,Snap-200,2605,1814,699,2330921,1229444,488408,4375283,933,1775631,866,1649176,268,510536,807978,250044,232088,216538104,7.0,5.0,1.134,3.702,2,3,2
22,2296,106,39,13.3,10.1,0.758,0.873,0.652,0.976,1106,59,-1.147,Snap-200,2845,1482,519,2725256,973396,348728,4720648,806,1656370,831,1706748,265,543515,669786,213590,220215,177493290,9.0,8.0,1.546,3.616,2,3,2
23,2354,95,37,12.4,9.8,0.792,0.88,0.61,0.972,1395,62,-0.565,Snap-200,3020,1585,546,2521577,1134217,470897,4356468,784,1449968,713,1319541,245,452035,558992,192080,174685,136953040,6.0,5.0,0.721,3.626,2,2,2
24,1973,121,42,14.5,10.6,0.734,0.87,0.679,0.975,938,89,0.691,Snap-200,2308,1490,536,2679273,1231964,472960,4632626,828,1943101,773,1814731,283,662458,640044,234324,218759,181132452,9.0,7.0,1.082,3.721,2,2,3
25,2598,85,35,13.1,8.3,0.63,0.849,0.777,0.977,1256,86,0.933,Snap-200,3418,1701,699,2685968,1196936,583950,4270470,953,1566616,837,1375686,277,455203,797661,263981,231849,220952097,4.0,0.0,0.0,3.572,3,3,3
26,1751,128,42,14.2,11.5,0.812,0.908,0.584,0.982,162,98,0.306,Snap-200,2014,1362,431,2233114,1141183,416848,4336487,838,2072794,654,1616930,241,594764,548052,201958,157614,132080532,11.0,9.0,0.876,3.698,2,2,2
27,2233,104,38,12.3,10.9,0.887,0.908,0.463,0.982,645,97,-1.513,Snap-200,2843,1536,519,2637432,1169744,464395,4504846,662,1335010,680,1370573,252,507527,450160,166824,171360,113440320,10.0,9.0,0.773,3.667,1,2,2
28,2508,87,37,14.5,7.7,0.534,0.818,0.846,0.98,1192,90,1.507,Snap-200,3295,1648,744,2378406,1122199,606447,4238511,1029,1738017,906,1531121,299,504601,932274,307671,270894,278749926,6.0,1.0,0.464,3.614,3,3,3
