cellID,avg_intensity_dapi,nuclear_area,nuclear_perimeter,major_axis,minor_axis,axes_ratio,circularity,eccentricity,solidity,x_pos,y_pos,angle,imageID,avg_intensity_core_dapi,avg_intensity_internal_ring_dapi,avg_intensity_external_ring_dapi,total_intensity_core_dapi,total_intensity_internal_ring_dapi,total_intensity_external_ring_dapi,total_intensity_dapi,avg_intensity_beta3,total_intensity_beta3,avg_intensity_rfp,total_intensity_rfp,avg_intensity_ngn,total_intensity_ngn,beta3_x_rfp,beta3_x_ngn,rfp_x_ngn,beta3_x_rfp_x_ngn,dna_peaks,dna_dots,dna_dots_size_median,spatial_entropy,beta3_group,rfp_group,ngn_group
1,2452,99,41,15.0,8.8,0.589,0.738,0.808,0.972,819,24,-0.5870657024953807,Snap-120,2918,1727,494,2806720,1148745,359891,4731640,677,1306949,687,1325267,227,437684,465099,153679,155949,105577473,8,7,1.6489280000000002,3.692,2,1,0
2,1961,97,39,12.9,9.8,0.758,0.806,0.652,0.951,962,24,-0.3683814224730062,Snap-120,2313,1395,456,2046954,842581,301681,3684293,576,1082955,551,1034564,204,382433,317376,117504,112404,64744704,9,9,1.2882250000000002,3.784,1,0,0
3,1545,19,20,8.8,3.0,0.344,0.579,0.939,0.969,1111,5,-1.5607455393033642,Snap-120,1948,1275,424,292224,285663,125463,577887,663,247794,450,168202,215,80529,298350,142545,96750,64145250,2,1,0.5668190000000001,3.771,1,0,0
4,1837,73,35,13.1,7.4,0.568,0.749,0.823,0.981,1619,14,1.3293454554495094,Snap-120,1906,1607,515,1202706,763531,278301,2586402,741,1043878,706,993507,242,340230,523146,179322,170852,126601332,6,6,1.7519860000000003,3.841,2,1,1
5,1536,27,33,16.5,2.2,0.135,0.305,0.991,0.936,1683,4,-1.5573256883792552,Snap-120,1836,1340,516,381799,425995,202325,807794,907,477069,518,272636,241,126888,469826,218587,124838,113228066,5,3,0.8244640000000001,3.885,2,1,1
6,1749,118,42,14.6,10.5,0.718,0.859,0.696,0.967,164,34,-1.4354902939036662,Snap-120,2116,1257,393,2403999,1013398,368144,4000299,816,1865208,4194,9590782,1861,4256510,3422304,1518576,7805034,6368907744,11,11,1.4943410000000001,3.735,2,3,2
7,1594,137,43,13.3,13.1,0.982,0.92,0.19,0.98,1478,52,0.5049916537688119,Snap-120,1764,1347,433,2204460,1156919,429406,4234787,639,1696712,687,1824536,230,610223,438993,146970,158010,100968390,15,16,1.0821090000000002,3.873,1,1,0
8,1631,133,43,14.6,11.6,0.792,0.905,0.61,0.983,1540,83,-1.565223991423946,Snap-120,1887,1233,440,2218610,1055770,432989,4200783,748,1925669,773,1991988,246,632774,578204,184008,190158,142238184,11,10,1.4170475000000002,3.755,2,1,1
9,2055,105,40,15.3,8.7,0.573,0.823,0.82,0.977,849,83,-0.9833248947009755,Snap-120,2484,1573,471,2168315,1270938,440737,4167602,624,1265561,720,1460720,217,439424,449280,135408,156240,97493760,8,7,2.112689,3.71,1,1,0
10,1481,143,45,14.7,12.4,0.845,0.891,0.534,0.981,1881,104,0.9085676508267542,Snap-120,1611,1267,410,2107072,1140067,427010,4122370,654,1820896,679,1889820,228,635530,444066,149112,154812,101247048,16,12,1.5201055,3.889,1,1,0
11,1846,147,47,17.0,11.0,0.648,0.854,0.762,0.981,1753,107,1.0511738602378529,Snap-120,2043,1508,470,2641204,1426495,507729,5267994,817,2331109,904,2580325,237,677191,738568,193629,214248,175040616,14,13,0.9275220000000001,3.8,2,1,1
12,1548,143,45,14.7,12.4,0.845,0.885,0.535,0.979,384,132,1.0594576332905503,Snap-120,1770,1193,420,2296851,1075061,437143,4293166,964,2672325,656,1818127,228,631358,632384,219792,149568,144183552,11,11,1.8550440000000001,3.791,2,1,0
13,2120,96,37,12.6,9.7,0.764,0.896,0.645,0.978,1271,137,-0.13660242535436293,Snap-120,2459,1699,495,2080262,1203075,415974,3931259,784,1452920,690,1278337,230,426391,540960,180320,158700,124420800,9,8,1.4685765000000002,3.801,2,1,0
14,1450,157,47,15.5,12.9,0.832,0.9,0.555,0.982,1094,145,-0.49351497915542414,Snap-120,1670,1141,407,2513965,1062171,432719,4411715,583,1775083,614,1868821,227,690974,357962,132341,139378,81257374,16,17,0.8244640000000001,3.798,1,0,0
15,1826,117,41,14.4,10.4,0.721,0.869,0.693,0.977,1696,137,1.1322046873239124,Snap-120,2288,1254,459,2517241,1024458,440300,4149998,681,1546781,648,1472471,239,543346,441288,162759,154872,105467832,6,5,2.9371530000000003,3.68,2,1,1
16,1756,125,43,13.8,11.9,0.858,0.853,0.513,0.97,941,143,1.4439792086444754,Snap-120,2099,1316,449,2543806,1123722,442243,4273437,636,1547779,597,1452410,208,507026,379692,132288,124176,78975936,13,17,0.8759930000000001,3.788,1,0,0
17,1819,115,42,15.6,9.4,0.607,0.832,0.795,0.979,1524,164,0.6662396507111963,Snap-120,2107,1411,448,2163679,1189866,436866,4060108,749,1672388,1209,2697581,243,542289,905541,182007,293787,220046463,12,10,0.48952550000000006,3.8,2,1,1
18,1837,116,41,14.6,10.1,0.694,0.867,0.72,0.978,450,182,0.6802833427782846,Snap-120,2210,1379,445,2378204,1129154,423956,4129711,703,1580431,645,1449309,223,501945,453435,156769,143835,101116005,6,6,2.6279790000000003,3.788,2,1,0
19,1940,111,40,14.5,9.7,0.672,0.862,0.741,0.979,801,178,-1.4267905631279434,Snap-120,2352,1410,438,2455819,1089995,396227,4164653,761,1634618,1681,3608142,549,1179755,1279241,417789,922869,702303309,8,10,1.2366960000000002,3.743,2,1,1
20,2731,71,32,10.7,8.5,0.795,0.896,0.606,0.98,1367,181,-0.16124488695821843,Snap-120,3635,1825,723,2275250,1134999,544159,3760776,1055,1452676,840,1157140,240,330701,886200,253200,201600,212688000,2,2,0.8502285,3.567,3,1,1
21,1625,134,43,14.0,12.2,0.869,0.906,0.495,0.979,1456,210,0.3657405907874872,Snap-120,1860,1317,439,2220919,1138303,438795,4237451,1009,2630299,866,2258123,237,617080,873794,239133,205242,207089178,10,9,1.6489280000000002,3.816,3,1,1
22,1969,110,43,17.0,8.3,0.492,0.734,0.871,0.956,1261,219,0.3021740382939544,Snap-120,2422,1486,623,2215746,1263201,617904,4198119,745,1587333,756,1611180,220,469443,563220,163900,166320,123908400,8,8,1.6231635000000002,3.723,2,1,0
23,1804,116,46,19.1,7.8,0.408,0.693,0.913,0.971,123,219,0.8641017487763568,Snap-120,2222,1339,412,2397491,1279045,451367,4056214,573,1288965,615,1382514,218,489428,352395,124914,134070,76822110,6,9,1.391283,3.711,1,0,0
24,1871,115,42,15.8,9.3,0.592,0.819,0.806,0.976,385,217,1.1102300800529952,Snap-120,2201,1405,450,2288837,1172047,436029,4176443,686,1531804,761,1697784,232,518189,522046,159152,176552,121114672,11,12,1.3655185,3.829,2,1,1
25,2034,101,38,13.5,9.6,0.713,0.865,0.701,0.974,678,215,-1.4573657179694957,Snap-120,2460,1499,406,2253451,1106484,353899,3985705,605,1186425,593,1161674,212,415706,358765,128260,125716,76058180,11,9,1.8550440000000001,3.748,1,0,0
26,1813,118,41,14.4,10.4,0.724,0.879,0.69,0.98,1390,226,-0.5700827687163389,Snap-120,2126,1404,546,2375129,1154060,519671,4158819,1215,2788221,872,1999638,251,576762,1059480,304965,218872,265929480,5,5,1.700457,3.625,3,1,1
27,1920,112,43,16.8,8.6,0.508,0.763,0.861,0.97,836,227,1.2354881521280006,Snap-120,2246,1547,457,2131425,1324216,450069,4167395,1218,2643395,6063,13162823,3310,7185255,7384734,4031580,20068530,24443469540,10,10,1.3139895000000001,3.769,3,3,2
28,1792,121,41,13.3,11.6,0.869,0.906,0.496,0.978,1220,242,-1.2513990106360975,Snap-120,1937,1529,579,1971534,1250736,555492,4221305,639,1505674,895,2106551,222,522312,571905,141858,198690,126962910,12,13,1.185167,3.864,1,1,0
29,2238,95,38,13.7,8.9,0.646,0.833,0.763,0.969,1003,254,-1.1533628008256498,Snap-120,2888,1560,495,2261505,1152900,431772,4104493,746,1368916,1963,3600409,549,1006301,1464398,409554,1077687,803954502,7,9,1.2366960000000002,3.725,2,2,1
30,2198,89,37,13.7,8.3,0.608,0.829,0.794,0.975,1573,278,0.3909814937384872,Snap-120,2793,1511,530,2368404,1107645,458287,3816539,936,1624652,2970,5156326,291,505696,2779920,272376,864270,808956720,8,6,1.0563445,3.664,2,2,1
31,1694,124,42,15.2,10.4,0.681,0.87,0.732,0.98,1806,281,1.0037263538925814,Snap-120,1898,1355,444,2264786,1148018,433353,4078572,808,1945833,1875,4514182,264,636436,1515000,213312,495000,399960000,15,11,1.0821090000000002,3.759,2,1,1
32,2093,106,44,18.4,7.4,0.404,0.674,0.915,0.969,265,289,0.724200825366287,Snap-120,2605,1569,534,2409904,1445196,568214,4293396,670,1375016,985,2020107,227,465200,659950,152090,223595,149808650,7,6,2.0353955000000004,3.698,1,1,0
33,1798,120,41,13.0,11.8,0.909,0.91,0.417,0.979,361,294,0.9298304121109519,Snap-120,2115,1383,483,2136344,1124193,455884,4202259,1071,2503985,1760,4112129,278,649263,1884960,297738,489280,524018880,11,12,0.9790510000000001,3.763,3,2,1
34,1910,109,39,13.4,10.3,0.772,0.893,0.636,0.979,424,298,-1.1645612477935035,Snap-120,2060,1667,473,2071926,1290562,431120,4025962,863,1819928,3067,6466173,2182,4599971,2646821,1883066,6692194,5775363422,10,9,1.700457,3.853,2,2,2
35,1780,126,49,20.2,8.1,0.401,0.671,0.916,0.96,107,300,1.2359835605925642,Snap-120,2180,1314,609,2317593,1262581,667289,4356752,798,1952929,1229,3008493,295,722581,980742,235410,362555,289318890,11,10,1.185167,3.74,2,1,1
36,2455,166,48,15.7,13.5,0.854,0.904,0.52,0.985,848,311,1.520602780887719,Snap-120,2659,1952,519,3853045,1875451,565286,7921000,613,1978271,1055,3406063,223,718404,646715,136699,235265,144217445,10,13,0.772935,3.804,1,1,0
37,2370,84,35,11.2,9.6,0.861,0.854,0.509,0.968,1655,305,-0.9266069496335233,Snap-120,3095,1560,871,2494227,1047046,703549,3841138,1096,1776838,4830,7829248,699,1132912,5293680,766104,3376170,3700282320,4,4,0.8502285,3.527,3,3,1
38,1574,145,45,14.5,12.7,0.877,0.909,0.481,0.982,1007,313,-1.2749893719386038,Snap-120,1753,1306,460,2366172,1171196,474808,4444706,697,1968898,925,2611223,233,656751,644725,162401,215525,150220925,17,18,1.0048155,3.86,2,1,1
39,2444,83,35,11.5,9.2,0.8,0.874,0.6,0.971,1349,307,-1.2794608462424069,Snap-120,3148,1603,549,2540384,1070600,448780,3957141,854,1381826,967,1564809,264,427258,825818,225456,255288,218015952,6,8,1.0048155,3.687,2,1,1
40,1956,116,43,16.0,9.3,0.585,0.801,0.811,0.977,1703,315,-1.3636298063292989,Snap-120,2041,1774,1101,2197630,1455090,1056803,4396445,1068,2401950,9400,21130684,5857,13165687,10039200,6255276,55055800,58799594400,14,14,0.9790510000000001,3.829,3,4,3
41,2067,103,39,14.1,9.4,0.666,0.865,0.746,0.978,540,325,1.5036973903428579,Snap-120,2531,1509,439,2328874,1140449,389734,4130257,604,1207068,616,1229899,228,454887,372064,137712,140448,84830592,8,10,1.4685765000000002,3.793,1,0,0
42,2101,128,47,19.0,8.7,0.457,0.716,0.89,0.962,120,348,0.8291946136494183,Snap-120,2479,1660,610,2635003,1639837,687668,5211889,968,2402581,3222,7994080,1540,3819614,3118896,1490720,4961880,4803099840,6,9,1.391283,3.743,2,2,1
43,2115,99,38,13.8,9.2,0.664,0.864,0.748,0.977,277,341,1.1740942952057656,Snap-120,2449,1691,547,2098756,1261552,481041,4063139,624,1198880,613,1177178,224,430617,382512,139776,137312,85682688,10,14,0.6956415,3.811,1,0,0
44,2352,82,37,13.7,7.7,0.562,0.764,0.827,0.964,1735,341,-1.496742483868772,Snap-120,2906,1771,929,2150567,1237611,771257,3729755,821,1302081,1870,2965751,338,536054,1535270,277498,632060,518921260,7,7,0.6698770000000001,3.647,2,1,1
45,2537,109,44,17.0,8.6,0.504,0.709,0.864,0.974,17,370,0.34012115438692714,Snap-120,3026,1812,489,3140681,1183473,352377,5387874,652,1385860,663,1407949,233,494393,432276,151916,154479,100720308,9,8,0.9790510000000001,3.678,1,1,1
46,1523,152,46,15.6,12.4,0.798,0.9,0.603,0.982,958,364,-0.9245174641609677,Snap-120,1682,1310,453,2398711,1220671,481543,4503910,680,2010400,990,2926830,239,707378,673200,162520,236610,160894800,13,11,1.3397540000000001,3.771,2,1,1
47,1539,146,45,15.3,12.2,0.797,0.9,0.604,0.982,1360,365,-1.519202452638805,Snap-120,1700,1272,443,2300687,1141089,457225,4352795,760,2149803,1075,3041636,533,1508577,817000,405080,572975,435461000,12,13,1.4428120000000002,3.844,2,1,1
48,1659,130,43,15.7,10.5,0.67,0.867,0.743,0.981,1638,371,0.9668468354090402,Snap-120,1864,1347,435,2025799,1180122,442147,4186659,984,2484051,7728,19505625,6362,16057839,7604352,6260208,49165536,48378887424,15,18,1.2366960000000002,3.85,2,3,3
49,1557,138,44,13.4,13.2,0.984,0.909,0.177,0.982,1908,375,-1.4014726482863251,Snap-120,1747,1252,424,2072088,990026,359211,4173285,693,1856727,652,1747324,233,623390,451836,161469,151916,105277788,17,17,1.0821090000000002,3.836,2,1,1
50,1912,112,40,14.2,10.1,0.707,0.863,0.708,0.977,468,370,1.3744370388084037,Snap-120,2286,1340,432,2380024,1065483,400669,4159940,601,1308509,669,1455551,238,518389,402069,143038,159222,95692422,9,11,1.4943410000000001,3.814,1,1,1
51,1308,188,53,18.8,12.7,0.673,0.84,0.74,0.981,1111,411,-0.37400798069867375,Snap-120,1541,988,400,2570175,1054254,478187,4758989,599,2180912,1596,5807800,220,799413,956004,131780,351120,210320880,19,16,0.772935,3.761,1,1,0
52,1801,118,41,14.1,10.7,0.755,0.903,0.656,0.983,341,399,1.1426380385640351,Snap-120,2094,1375,420,2344952,1122404,396613,4123447,617,1413734,644,1474513,218,499991,397348,134506,140392,86621864,9,9,2.2672760000000003,3.762,1,1,0
53,1772,121,41,14.0,11.0,0.785,0.904,0.62,0.98,1582,442,-0.8503473404052481,Snap-120,1904,1524,447,2222354,1250827,425795,4154703,734,1721176,767,1797931,263,615693,562978,193042,201721,148063214,13,9,1.7519860000000003,3.825,2,1,1
54,1665,135,43,13.5,12.8,0.952,0.912,0.306,0.982,945,446,1.1895994381182964,Snap-120,1909,1340,451,2333092,1152611,447676,4370973,713,1871475,971,2548512,237,621924,692323,168981,230127,164080551,11,11,2.3188050000000002,3.806,2,1,1
55,1480,151,47,15.8,12.2,0.775,0.877,0.632,0.98,1383,449,-1.2113678454039223,Snap-120,1662,1181,402,2329957,1105364,430854,4351098,659,1936079,1053,3096203,239,703291,693927,157501,251667,165848553,14,12,1.9838665000000002,3.829,1,1,1
56,2075,96,37,13.9,8.8,0.633,0.855,0.774,0.979,1759,442,0.9351189013141988,Snap-120,2650,1438,454,2077290,1078485,403327,3849789,708,1313046,695,1289028,241,447897,492060,170628,167495,118586460,7,6,1.7519860000000003,3.681,2,1,1
57,1667,135,44,14.9,11.6,0.773,0.886,0.635,0.985,1217,459,-0.5270389842678259,Snap-120,1914,1294,564,2271333,1128063,568337,4365450,647,1694117,848,2220338,219,573408,548656,141693,185712,120155664,11,10,2.0353955000000004,3.795,1,1,0
58,1786,117,42,16.3,9.1,0.56,0.817,0.829,0.98,1894,460,-1.487626589361031,Snap-120,1966,1506,559,2128968,1248443,539111,4053909,768,1742933,678,1538277,243,552477,520704,186624,164754,126531072,14,19,0.7214060000000001,3.887,2,1,1
59,1294,178,50,15.8,14.3,0.904,0.907,0.427,0.982,35,486,1.3843587045336014,Snap-120,1461,1099,380,2348282,1057707,386394,4467346,685,2365357,716,2471475,220,760933,490460,150700,157520,107901200,19,20,1.1078735000000002,3.843,1,0,0
60,1851,120,41,13.5,11.3,0.838,0.911,0.545,0.979,746,481,-1.0806903801302141,Snap-120,2208,1389,499,2217153,1124733,471440,4306283,679,1578643,743,1727308,268,623275,504497,181972,199124,135205196,13,12,1.9065730000000003,3.783,1,1,1
61,1301,187,55,20.4,11.7,0.575,0.787,0.818,0.973,1168,501,-0.29996599678061925,Snap-120,1314,1234,570,2373866,1356347,704566,4719675,608,2205530,671,2435779,228,826458,407968,138624,152988,93016704,21,26,0.9532865000000001,3.926,1,1,0
62,1962,111,42,15.4,9.6,0.62,0.786,0.784,0.949,794,500,-0.20428827926691745,Snap-120,2310,1542,538,2240908,1281140,520471,4232009,1065,2296962,3517,7585774,3258,7028522,3745605,3469770,11458386,12203181090,10,11,1.3397540000000001,3.814,3,2,2
63,1846,7,10,3.5,2.5,0.705,0.938,0.71,0.93,1139,477,-0.5499749446361839,Snap-120,2284,1846,608,93634,243656,174970,243656,825,108912,745,98400,243,32096,614625,200475,181035,149353875,1,1,0.6698770000000001,3.903,2,1,1
64,2003,107,41,14.0,10.1,0.723,0.82,0.691,0.966,1865,503,0.24516342323582618,Snap-120,2524,1397,813,2463736,1083994,741241,4174661,772,1607927,713,1485374,251,522104,550436,193772,178963,138159436,5,8,1.8550440000000001,3.631,2,1,1
65,1789,122,42,14.3,10.9,0.762,0.89,0.648,0.978,1806,511,0.21631057723603048,Snap-120,1979,1442,441,2038505,1189811,423237,4247718,756,1793797,753,1786716,257,608939,569268,194292,193521,146301876,16,12,1.6231635000000002,3.848,2,1,1
66,1818,115,41,13.1,11.3,0.868,0.869,0.496,0.98,1910,517,-1.0604245593423114,Snap-120,2106,1452,745,2118174,1030776,546730,4068819,824,1845226,780,1746081,253,565363,642720,208472,197340,162608160,10,10,1.3397540000000001,3.773,2,1,1
67,1586,139,44,14.4,12.4,0.861,0.889,0.509,0.98,1567,522,1.5581235825710742,Snap-120,1831,1238,423,2324020,1088405,427938,4290543,821,2220481,664,1797081,237,640880,545144,194577,157368,129199128,10,11,1.3397540000000001,3.813,2,1,1
68,2198,95,37,12.0,10.2,0.857,0.891,0.516,0.976,1436,541,-0.5353621641271437,Snap-120,2870,1487,453,2318909,1079289,388165,4048986,800,1473368,999,1840035,244,448848,799200,195200,243756,195004800,7,7,1.4428120000000002,3.654,2,1,1
69,1557,139,45,15.6,11.4,0.73,0.881,0.684,0.982,1677,546,0.6066451735599315,Snap-120,1708,1300,410,2091718,1165070,420073,4199772,753,2030291,630,1698422,235,634186,474390,176955,148050,111481650,13,12,0.772935,3.811,2,0,1
70,1489,147,46,17.1,11.0,0.64,0.857,0.768,0.981,1761,552,0.7091539555928023,Snap-120,1714,1157,400,2192339,1106110,435350,4248361,740,2111310,704,2009027,243,692678,520960,179820,171072,126593280,10,10,2.1642180000000004,3.799,2,1,1
71,1838,120,42,14.9,10.3,0.688,0.865,0.726,0.981,820,555,-1.03537145341915,Snap-120,2052,1485,471,2269710,1256004,460070,4264715,662,1535579,1015,2355689,234,543004,671930,154908,237510,157231620,15,13,1.0821090000000002,3.793,1,1,1
